    Send    	    发送    
Source code disclosure(\s+\[[0-9]+\])?	源代码泄漏$1
Source:(.*)	来源:$1
Specific address:	指定的地址:
Specific string:	指定文字列:
Specify a prefix for URLs you want to match.	请指定要匹配的URL的前缀。
Specify a regular expression to match each URL component, or leave blank to match any item. An IP range can be specified instead of a hostname.	要指定与每个URL匹配的正则表达式或匹配任何项目，请保持空白。您可以指定IP范围而不是主机名。
Specify the account credentials that should be submitted to any login functions. The crawler will use these to discover authenticated content behind login functions.	请指定要发送到登录功能的帐户的凭据。履带使用这些来检测登录验证后的内容。
Specify the details of the form field completion rule.	请指定表单字段完成规则的详细信息。
Specify the details of the interception rule.	请指定拦截规则的详细信息。
Specify the details of the match/replace rule.	请指定搜索和替换规则的详细信息。
Specify the details of the server to connect to.	请指定要连接的服务器的详细信息。
Specify the details of the server to which the request will be sent.	请指定发送请求的服务器的详细信息。
Specify the host and port details for the target, or leave blank to match any item. An IP range can be specified instead of a hostname.	要指定目标主机和端口的详细信息或匹配任何项目，请保持空白。您可以指定IP范围而不是主机名。
Specify the host(s) for which the certificate should be used, and the certificate type. You can use wildcards to specify destination hosts (* matches zero or more characters, ? matches any character except a dot), or leave the field blank to apply to all hosts.	请选择要使用证书的主机及其证书类型。通配符指定目标主机(*为0个字符或更多字符，？与点以外的任何字符匹配)，或保持空白以将其应用于所有主机。
Specify the items to include in this site map. If you want to re-request the site map in a different session context, you should restrict to in-scope items and also ensure that the defined scope excludes any requests that modify that context, including login and logout.	请指定要包含在此站点地图中的项目。如果您想在另一个会话上下文中重新请求站点地图，请仅将其限制为范围中的项目，并确保更改上下文的请求超出范围，包括登录和注销。
Specify the location of the PKCS#11 library file for your hardware token or smart card. This is a native code file that is installed with the software for your device (for example, a .DLL file on Windows).	指定PKCS#11库文件在硬件令牌或智能卡中的位置。与设备软件一起安装的本机代码文件(例如Windows.DLL文件)。
Specify the options for re-requesting the site map. Ensure you have configured suitable session handling rules for the target tool, in Options / Sessions. These rules will be applied to requests when re-requesting the site map.	请指定重新请求站点地图时的选项。请确保在选项/会话中正确设置了目标工具的会话处理规则。这些规则适用于重新访问站点地图时的请求。
Specify the resource pool in which the attack will be run. Resource pools are used to manage the usage of system resources across multiple tasks.	指定要执行攻击的资源池。资源池用于管理跨多个任务的系统资源使用情况。
Specify the resource pool in which the scan will be run. Resource pools are used to manage the usage of system resources across multiple tasks.	请指定要执行扫描的资源池。资源池用于管理跨多个任务的系统资源使用情况。
Specify the title and structure to use in the report.	请指定要在报告中使用的标题和配置。
Spectral	光谱
Spectral Analysis - Significance Levels	光谱分析 - 显着性水平
Spectral tests	光谱测试
Spider Engine	Spider引擎
Spider from a URL	从URL执行Spider
Spider from discovered content	从发现的内容自动爬行
Spider from here	从这里开始执行Spider
Spider is paused	Spider停止中
Spider is running	Spider正在运行中
Spider requests queued:	排队爬行请求:
Spider Scope	Spider范围
Spider selected items	Spider运行选定的项目
Spider Status	Spider状态
Spider this branch	Spider运行此分支
Spider this host	Spider运行此主机
Spoofable client IP address(\s+\[[0-9]+\])?	可伪装的客户端IP地址$1
SQL injection \(second order\)(\s+\[[0-9]+\])?	SQL注入(二阶)$1
SQL injection(\s+\[[0-9]+\])?	SQL注入$1
SQL Server specific	SQL Server固有
SQL statement in request parameter(\s+\[[0-9]+\])?	请求参数中的SQL语句$1
SSI injection	SSI注入
SSL certificate(\s+\[[0-9]+\])?	SSL证书$1
SSL Ciphers	SSL暗号
SSL cookie without secure flag set(\s+\[[0-9]+\])?	未设置安全标志的SSL cookie$1
SSL Negotiation	SSL协商
SSL Negotiation Workarounds	SSL协商的解决方案
SSL Pass Through	SSL传递
SSL Protocol	SSL协议
SSL Protocols	SSL协议
SSRF targets	SSRF目标
Standard error	标准错误
Standard Error	标准错误
Standard Output	标准输出
Standard output	标准输出
Start	启动
Start after expression:	从这后面开始:
Start at offset:	开始偏移:
Start at:	开始时间:
Start attack	攻击开始
Start Burp	启动Burp
Start directory:	开始目录:
Start here	从这里开始
Start learning	学习开始
Start live capture	开始实时捕捉
Start response timer	响应开始时间
Start tasks	启动任务
Start time	开始时间
Start time:	开始时间:
Starting crawl. ([0-9]+)h ([0-9]+)m maximum time remaining.	开始爬行。最大剩余时间$1时$2分。
Starting crawl. ([0-9]+)h maximum time remaining.	开始爬行。最大剩余时间$1时。
Starting crawl. ([0-9]+)m ([0-9]+)s maximum time remaining.	开始爬行。最大剩余时间$1分$2秒
Starting crawl. ([0-9]+)m maximum time remaining.	开始爬行。最大剩余时间$1分。
Starting crawl. ([0-9]+)s maximum time remaining.	开始爬行。最大剩余时间$1秒
Starting project, please wait ...	项目正在开始，请稍等 ...
Startup behavior	启动时的行为
State changing sequences	状态变化的序列
Static	静态
Static analysis	静的解析
Static code analysis	静态代码分析
Static Code Analysis	静态代码分析
Static URLs	静的URL
Status	状态
Status 100 response handling	状态100响应处理
Status 100 Responses	状态100响应
Status code	状态代码
step	増分
Step:	増加:
Stop	停止
Stop at maximum:	停止的最大数量:
Stop Burp's browser using the GPU.	停止Burp浏览器使用GPU
Stop if duplicate payload found	重复有效载荷检测时停止
Stop logging out-of-scope items	停止记录范围外的项目
Stop sending out-of-scope items to Proxy history and other Burp tools	停止向Proxy历史记录和其他Burp工具发送超出范围的项目
Stop the embedded browser using the GPU.	确保内置浏览器不做GPU
Store browser data	存储浏览器数据
Store full payloads	保存所有有效载荷
Store requests	保存请求
Store responses	保存响应
Store settings and history after closing.	关闭后存储设置和历史记录。
Store streaming responses (may result in large temp files)	保存流媒体响应(可以是大的临时文件)
Stored DOM issues	存储型DOM的问题
Stored XSS	存储型XSS
Streaming response [double-click to cancel]	流媒体响应 [双击取消]
Streaming response [not stored]	流媒体响应 [并没有保存]
Streaming responses	流媒体响应
Streaming Responses	流媒体响应
